FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-3.894026E-04,+0.000000E+00,-6.819202E+01,+3.141593E+00
+2.441406E-01,+2.562023E-04,-2.522989E-05,-7.178643E+01,-9.815994E-02
+4.882812E-01,+1.303016E-05,+1.128399E-05,-9.527077E+01,+7.137046E-01
+7.324219E-01,+1.522270E-05,-7.923061E-06,-9.530907E+01,-4.798945E-01
+9.765625E-01,-1.065913E-05,+2.282998E-05,-9.197346E+01,+2.007608E+00
+1.220703E+00,-1.327581E-06,-2.837820E-05,-9.093082E+01,-1.617544E+00
+1.464844E+00,+8.254630E-07,+1.699524E-05,-9.538322E+01,+1.522264E+00
+1.708984E+00,+8.845041E-07,+2.909455E-06,-1.103399E+02,+1.275664E+00
+1.953125E+00,-3.297288E-06,-6.353460E-06,-1.029040E+02,-2.049509E+00
+2.197266E+00,+1.179801E-05,-8.415692E-06,-9.677746E+01,-6.196060E-01
+2.441406E+00,-9.615414E-06,+1.244373E-05,-9.606772E+01,+2.228675E+00
+2.685547E+00,-7.864355E-07,+4.803403E-06,-1.062541E+02,+1.733081E+00
+2.929688E+00,-1.073498E-06,-9.781863E-06,-1.001396E+02,-1.680103E+00
+3.173828E+00,+1.167348E-05,-4.290872E-06,-9.810561E+01,-3.522447E-01
+3.417969E+00,-1.464287E-05,+6.961670E-06,-9.580245E+01,+2.697793E+00
+3.662109E+00,+2.068493E-05,+1.726800E-06,-9.365676E+01,+8.328797E-02
+3.906250E+00,-1.455381E-05,-4.528688E-06,-9.633910E+01,-2.839921E+00
+4.150391E+00,-2.691686E-07,+7.012140E-06,-1.030766E+02,+1.609164E+00
+4.394531E+00,-4.224822E-06,-1.263128E-05,-9.751050E+01,-1.893572E+00
+4.638672E+00,+1.233398E-05,+1.019994E-05,-9.591479E+01,+6.909763E-01
+4.882812E+00,-1.022959E-05,-8.341874E-06,-9.758873E+01,-2.457493E+00
+5.126953E+00,+4.269912E-06,+6.000541E-06,-1.026569E+02,+9.523357E-01
+5.371094E+00,+2.837569E-06,+6.884720E-06,-1.025609E+02,+1.179856E+00
+5.615234E+00,-4.382031E-06,-1.398239E-05,-9.668149E+01,-1.874498E+00
+5.859375E+00,-2.507951E-06,+1.148636E-05,-9.859409E+01,+1.785764E+00
+6.103516E+00,+7.386016E-06,-2.946014E-06,-1.019906E+02,-3.795264E-01
+6.347656E+00,-3.610843E-06,-7.764515E-06,-1.013474E+02,-2.006090E+00
+6.591797E+00,-2.266113E-06,+6.708759E-06,-1.029979E+02,+1.896547E+00
+6.835938E+00,+3.071562E-06,-1.522023E-06,-1.092992E+02,-4.600578E-01
+7.080078E+00,-3.843106E-07,-2.004845E-06,-1.138017E+02,-1.760190E+00
+7.324219E+00,-3.744018E-06,+5.125180E-06,-1.039486E+02,+2.201710E+00
+7.568359E+00,+6.711465E-06,-4.635740E-06,-1.017696E+02,-6.044703E-01
+7.812500E+00,-5.366290E-06,+1.659597E-06,-1.050098E+02,+2.841659E+00
+8.056641E+00,+3.227454E-06,-1.170158E-06,-1.092864E+02,-3.478235E-01
+8.300781E+00,+7.970210E-07,+5.645677E-06,-1.048800E+02,+1.430550E+00
+8.544922E+00,-1.496196E-06,-5.221414E-06,-1.053015E+02,-1.849868E+00
+8.789062E+00,-9.760511E-06,+3.404310E-06,-9.971198E+01,+2.806002E+00
+9.033203E+00,+1.397306E-05,-1.128228E-05,-9.491422E+01,-6.792555E-01
+9.277344E+00,+1.639978E-06,+1.183203E-05,-9.845618E+01,+1.433069E+00
+9.521484E+00,-8.785664E-06,-4.330439E-06,-1.001800E+02,-2.683643E+00
+9.765625E+00,-4.093886E-07,+5.675190E-06,-1.048979E+02,+1.642808E+00
+1.000977E+01,+7.016332E-07,-7.169980E-06,-1.028483E+02,-1.473250E+00
+1.025391E+01,+4.463409E-06,+1.323054E-06,-1.066409E+02,+2.881713E-01
+1.049805E+01,-3.541208E-06,+3.157888E-06,-1.064758E+02,+2.413352E+00
+1.074219E+01,+6.019557E-06,-5.363778E-06,-1.018705E+02,-7.278531E-01
+1.098633E+01,-9.616393E-06,-6.009015E-07,-1.003228E+02,-3.079187E+00
+1.123047E+01,+6.142464E-06,+3.270667E-06,-1.031491E+02,+4.892836E-01
+1.147461E+01,+3.041506E-06,+5.711306E-06,-1.037810E+02,+1.081456E+00
+1.171875E+01,+4.175448E-07,-4.237808E-06,-1.074152E+02,-1.472585E+00
+1.196289E+01,-1.581995E-05,+6.675835E-08,-9.601582E+01,+3.137373E+00
+1.220703E+01,+1.830564E-05,-4.123860E-06,-9.453331E+01,-2.215791E-01
