FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-4.426030E-04,+0.000000E+00,-6.707971E+01,+3.141593E+00
+2.441406E-01,+2.846067E-04,+1.247659E-05,-7.090676E+01,+4.380994E-02
+4.882812E-01,+3.165484E-05,-2.082966E-05,-8.842874E+01,-5.819956E-01
+7.324219E-01,-8.901051E-07,+4.409785E-06,-1.069382E+02,+1.769968E+00
+9.765625E-01,-1.920052E-06,+6.291897E-06,-1.036377E+02,+1.866983E+00
+1.220703E+00,-1.929013E-06,+5.858713E-06,-1.041970E+02,+1.888872E+00
+1.464844E+00,+1.489159E-06,-1.515608E-05,-9.634653E+01,-1.472856E+00
+1.708984E+00,+3.784117E-06,+1.489013E-05,-9.627023E+01,+1.321929E+00
+1.953125E+00,-7.284135E-06,-6.797089E-06,-1.000323E+02,-2.390769E+00
+2.197266E+00,+1.348891E-06,-6.139549E-07,-1.165828E+02,-4.271329E-01
+2.441406E+00,+1.335999E-05,+4.040760E-06,-9.710373E+01,+2.937052E-01
+2.685547E+00,-1.823351E-05,-9.854451E-06,-9.366965E+01,-2.646105E+00
+2.929688E+00,+7.197281E-06,+9.180593E-06,-9.866193E+01,+9.059084E-01
+3.173828E+00,-3.817717E-06,+7.120616E-07,-1.082154E+02,+2.957196E+00
+3.417969E+00,+5.968332E-06,-6.467595E-06,-1.011097E+02,-8.255234E-01
+3.662109E+00,+1.619134E-06,+1.038729E-05,-9.956570E+01,+1.416164E+00
+3.906250E+00,-1.036901E-05,-1.826828E-05,-9.355319E+01,-2.087049E+00
+4.150391E+00,+6.107372E-06,+1.346188E-05,-9.660504E+01,+1.144887E+00
+4.394531E+00,+6.494943E-06,+3.628944E-06,-1.025686E+02,+5.095239E-01
+4.638672E+00,+5.398335E-07,-1.365829E-05,-9.728529E+01,-1.531293E+00
+4.882812E+00,-6.684681E-06,+3.581556E-06,-1.024024E+02,+2.649728E+00
