FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-4.024079E-04,+0.000000E+00,-6.790667E+01,+3.141593E+00
+2.441406E-01,+2.788342E-04,-6.542556E-05,-7.086032E+01,-2.304705E-01
+4.882812E-01,-3.975832E-06,+1.651969E-05,-9.539542E+01,+1.806977E+00
+7.324219E-01,+1.531334E-05,+1.146297E-05,-9.436639E+01,+6.425793E-01
+9.765625E-01,-7.408536E-06,+4.924549E-06,-1.010162E+02,+2.554944E+00
+1.220703E+00,+6.510218E-06,-4.032572E-06,-1.023177E+02,-5.545781E-01
+1.464844E+00,-6.185172E-06,-6.816728E-06,-1.007199E+02,-2.307659E+00
+1.708984E+00,-4.714517E-07,+1.253136E-05,-9.803390E+01,+1.608400E+00
+1.953125E+00,+5.691417E-06,-9.397663E-06,-9.918262E+01,-1.026254E+00
+2.197266E+00,-1.951558E-06,+3.857046E-06,-1.072850E+02,+2.039210E+00
+2.441406E+00,-2.220685E-06,-5.801063E-06,-1.041360E+02,-1.936393E+00
+2.685547E+00,-7.059544E-06,+5.999664E-06,-1.006635E+02,+2.437177E+00
+2.929688E+00,+3.085813E-06,+2.462553E-06,-1.080725E+02,+6.735349E-01
+3.173828E+00,+8.062913E-06,-7.384154E-06,-9.922501E+01,-7.414854E-01
+3.417969E+00,+4.891463E-06,+9.376084E-06,-9.951413E+01,+1.089943E+00
+3.662109E+00,-1.245744E-05,-7.537491E-06,-9.673661E+01,-2.597461E+00
+3.906250E+00,+2.746711E-06,+4.692103E-06,-1.052929E+02,+1.041189E+00
+4.150391E+00,+2.129139E-06,-7.709933E-06,-1.019398E+02,-1.301356E+00
+4.394531E+00,+4.214026E-06,+9.164453E-06,-9.992486E+01,+1.139804E+00
+4.638672E+00,-1.151948E-05,-9.492982E-06,-9.652055E+01,-2.452340E+00
+4.882812E+00,+6.625732E-06,+1.231536E-05,-9.708701E+01,+1.077209E+00
+5.126953E+00,+1.060823E-05,-1.103013E-05,-9.630416E+01,-8.048938E-01
+5.371094E+00,-1.760302E-05,+7.402626E-06,-9.438106E+01,+2.743513E+00
+5.615234E+00,+9.033156E-06,-6.445113E-06,-9.909610E+01,-6.197258E-01
+5.859375E+00,-2.988768E-06,+2.963634E-06,-1.075164E+02,+2.360417E+00
+6.103516E+00,+1.991942E-06,-1.545736E-06,-1.119674E+02,-6.599312E-01
+6.347656E+00,-2.402760E-06,+2.827036E-06,-1.086121E+02,+2.275245E+00
+6.591797E+00,+2.979559E-06,-1.067814E-06,-1.099922E+02,-3.441204E-01
+6.835938E+00,-3.175831E-06,-2.654263E-06,-1.076622E+02,-2.445418E+00
+7.080078E+00,+3.937288E-08,+3.644491E-06,-1.087668E+02,+1.559993E+00
+7.324219E+00,+9.027730E-06,+6.220968E-06,-9.920094E+01,+6.033700E-01
+7.568359E+00,-8.367674E-06,-1.458057E-05,-9.548811E+01,-2.091797E+00
+7.812500E+00,-2.019318E-06,+3.693697E-07,-1.137530E+02,+2.960675E+00
+8.056641E+00,+2.443334E-06,+1.200849E-05,-9.823406E+01,+1.370069E+00
+8.300781E+00,+4.029956E-06,-9.267446E-06,-9.990863E+01,-1.160612E+00
+8.544922E+00,-7.359793E-06,+1.307741E-05,-9.647460E+01,+2.083404E+00
+8.789062E+00,+3.297344E-06,-1.609018E-05,-9.569012E+01,-1.368666E+00
+9.033203E+00,+3.284278E-06,+5.265106E-06,-1.041445E+02,+1.013073E+00
+9.277344E+00,-1.921122E-06,-3.004036E-06,-1.089568E+02,-2.139764E+00
+9.521484E+00,+2.581721E-06,+8.559615E-06,-1.009728E+02,+1.277857E+00
+9.765625E+00,-5.370279E-06,-2.673326E-06,-1.044386E+02,-2.679706E+00
+1.000977E+01,+3.812856E-06,+1.624278E-06,-1.076507E+02,+4.027177E-01
+1.025391E+01,-2.836676E-06,-7.240905E-06,-1.021841E+02,-1.944177E+00
+1.049805E+01,-1.254574E-06,+5.109817E-06,-1.055777E+02,+1.811556E+00
+1.074219E+01,+3.804268E-06,-3.057909E-06,-1.062300E+02,-6.770597E-01
+1.098633E+01,+2.088688E-06,+5.378592E-06,-1.047766E+02,+1.200387E+00
+1.123047E+01,-7.770916E-06,-6.375791E-06,-9.995515E+01,-2.454495E+00
+1.147461E+01,+6.575933E-06,+4.386120E-06,-1.020425E+02,+5.882305E-01
+1.171875E+01,-4.976966E-06,-5.595520E-06,-1.025119E+02,-2.297755E+00
+1.196289E+01,+2.678279E-06,+7.430155E-06,-1.020495E+02,+1.224833E+00
+1.220703E+01,-1.417199E-06,-6.003217E-06,-1.041968E+02,-1.802625E+00
+1.245117E+01,+4.728122E-06,-3.127242E-07,-1.064873E+02,-6.604511E-02
+1.269531E+01,-2.097496E-06,+6.347235E-06,-1.034982E+02,+1.889957E+00
+1.293945E+01,-6.001585E-06,-3.866724E-06,-1.029268E+02,-2.569246E+00
+1.318359E+01,+7.468755E-06,+2.806375E-06,-1.019615E+02,+3.594269E-01
+1.342773E+01,-4.430603E-06,-4.163440E-06,-1.043222E+02,-2.387271E+00
+1.367188E+01,-3.634026E-07,+1.400956E-06,-1.167887E+02,+1.824599E+00
+1.391602E+01,+1.708687E-07,-7.441980E-07,-1.223431E+02,-1.345107E+00
+1.416016E+01,-4.965674E-07,+3.589781E-06,-1.088163E+02,+1.708252E+00
+1.440430E+01,+7.014784E-06,-8.416882E-06,-9.920634E+01,-8.760079E-01
+1.464844E+01,-2.152696E-07,+1.097944E-05,-9.918672E+01,+1.590400E+00
+1.489258E+01,-7.538523E-06,-9.309869E-07,-1.023885E+02,-3.018718E+00
+1.513672E+01,+7.188681E-07,-1.242498E-05,-9.809958E+01,-1.513004E+00
+1.538086E+01,-5.445933E-06,+3.975626E-06,-1.034233E+02,+2.511004E+00
+1.562500E+01,+1.650951E-05,+4.481043E-06,-9.533661E+01,+2.650366E-01
+1.586914E+01,-7.581563E-06,+1.232391E-06,-1.022916E+02,+2.980451E+00
+1.611328E+01,-4.385432E-06,-1.420206E-06,-1.067266E+02,-2.828404E+00
+1.635742E+01,+4.421549E-06,+9.727968E-07,-1.068832E+02,+2.165624E-01
+1.660156E+01,-3.777145E-06,-4.672036E-06,-1.044256E+02,-2.250673E+00
+1.684570E+01,+2.530162E-06,+4.700807E-06,-1.054517E+02,+1.077027E+00
+1.708984E+01,+9.001790E-07,+1.071980E-06,-1.170786E+02,+8.722921E-01
+1.733398E+01,-5.447786E-06,-6.582470E-06,-1.013663E+02,-2.262154E+00
+1.757812E+01,+7.360980E-06,+1.045531E-05,-9.786488E+01,+9.573626E-01
