FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-3.530998E-04,+0.000000E+00,-6.904205E+01,+3.141593E+00
+2.441406E-01,+2.269907E-04,-3.722288E-05,-7.276460E+01,-1.625375E-01
+4.882812E-01,+3.566047E-05,+1.454044E-05,-8.828831E+01,+3.871667E-01
+7.324219E-01,-2.457881E-05,+5.226575E-06,-9.199672E+01,+2.932068E+00
+9.765625E-01,+7.897053E-06,+3.371023E-06,-1.013237E+02,+4.034544E-01
+1.220703E+00,+5.455561E-06,-1.058978E-05,-9.847998E+01,-1.095085E+00
+1.464844E+00,-6.471390E-06,+1.425576E-05,-9.610648E+01,+1.996930E+00
+1.708984E+00,+8.794846E-06,-2.016970E-05,-9.315005E+01,-1.159610E+00
+1.953125E+00,-3.268121E-07,+1.661757E-05,-9.558698E+01,+1.590460E+00
+2.197266E+00,-2.375446E-06,-2.603254E-06,-1.090589E+02,-2.310470E+00
+2.441406E+00,-5.757756E-06,+1.541535E-06,-1.044943E+02,+2.879996E+00
+2.685547E+00,+1.068395E-05,-4.632345E-06,-9.867722E+01,-4.091153E-01
+2.929688E+00,-1.454907E-05,+1.866105E-07,-9.674258E+01,+3.128767E+00
+3.173828E+00,+1.139879E-05,-6.509264E-06,-9.763707E+01,-5.188596E-01
+3.417969E+00,-1.197180E-05,+1.290237E-05,-9.508926E+01,+2.318801E+00
+3.662109E+00,+1.370945E-05,-8.376362E-06,-9.588191E+01,-5.484626E-01
+3.906250E+00,-1.010496E-05,+1.203054E-05,-9.607578E+01,+2.269423E+00
+4.150391E+00,+1.534927E-05,-1.907265E-05,-9.222308E+01,-8.931481E-01
+4.394531E+00,-1.346780E-05,+1.680177E-05,-9.333780E+01,+2.246494E+00
+4.638672E+00,+5.549775E-06,-4.895162E-06,-1.026152E+02,-7.228072E-01
+4.882812E+00,-7.710820E-06,-3.441536E-06,-1.014690E+02,-2.721799E+00
+5.126953E+00,+8.349008E-06,-3.929144E-06,-1.006985E+02,-4.398621E-01
+5.371094E+00,-6.856105E-07,+1.124907E-05,-9.896156E+01,+1.631669E+00
+5.615234E+00,+2.603936E-06,-9.830531E-06,-9.985397E+01,-1.311860E+00
+5.859375E+00,-7.898754E-06,+3.885748E-06,-1.011076E+02,+2.684410E+00
+6.103516E+00,+7.479380E-06,-1.145461E-06,-1.024220E+02,-1.519684E-01
+6.347656E+00,-9.545993E-07,+3.851157E-06,-1.080292E+02,+1.813772E+00
+6.591797E+00,-7.494743E-06,-6.115193E-06,-1.002888E+02,-2.457213E+00
+6.835938E+00,+3.312108E-06,+4.078007E-06,-1.055909E+02,+8.886678E-01
+7.080078E+00,+1.914639E-06,-5.963162E-06,-1.040643E+02,-1.260116E+00
+7.324219E+00,-1.935562E-06,+1.066202E-05,-9.930238E+01,+1.750379E+00
+7.568359E+00,+1.545035E-06,-7.485049E-06,-1.023349E+02,-1.367239E+00
+7.812500E+00,+3.654195E-06,+3.540057E-06,-1.058695E+02,+7.695345E-01
+8.056641E+00,-7.146733E-06,+8.894303E-07,-1.028511E+02,+3.017776E+00
+8.300781E+00,+3.797895E-06,-4.989428E-06,-1.040540E+02,-9.201730E-01
+8.544922E+00,+1.031562E-06,+7.718037E-06,-1.021730E+02,+1.437928E+00
+8.789062E+00,+7.113349E-08,-8.615507E-06,-1.012941E+02,-1.562540E+00
+9.033203E+00,-1.143935E-06,+2.060922E-06,-1.125524E+02,+2.077516E+00
+9.277344E+00,-1.733269E-07,+9.380398E-06,-1.005541E+02,+1.589272E+00
+9.521484E+00,-2.850351E-06,-1.892650E-05,-9.436119E+01,-1.720274E+00
+9.765625E+00,+1.230395E-06,+1.094195E-05,-9.916353E+01,+1.458819E+00
+1.000977E+01,+5.852407E-06,-1.053554E-06,-1.045148E+02,-1.781130E-01
+1.025391E+01,-6.216103E-06,+6.283855E-06,-1.010720E+02,+2.350774E+00
+1.049805E+01,+1.743641E-07,-1.051059E-05,-9.956627E+01,-1.554209E+00
+1.074219E+01,+3.530457E-06,+1.408251E-06,-1.084021E+02,+3.795459E-01
+1.098633E+01,-5.261699E-08,+6.884286E-06,-1.032426E+02,+1.578439E+00
+1.123047E+01,-1.270130E-06,-2.279501E-06,-1.116689E+02,-2.079148E+00
+1.147461E+01,+2.687309E-06,-5.589540E-06,-1.041494E+02,-1.122647E+00
+1.171875E+01,-5.590751E-06,+1.991576E-06,-1.045318E+02,+2.799381E+00
+1.196289E+01,+3.715257E-06,+5.361406E-06,-1.037112E+02,+9.648088E-01
+1.220703E+01,-6.154353E-06,-1.689150E-06,-1.039009E+02,-2.873725E+00
+1.245117E+01,+6.198435E-06,-1.787361E-06,-1.038075E+02,-2.807410E-01
+1.269531E+01,-2.297730E-07,-3.267962E-06,-1.096930E+02,-1.640992E+00
+1.293945E+01,-1.087944E-06,+7.373932E-06,-1.025525E+02,+1.717279E+00
+1.318359E+01,-3.591808E-06,-2.817395E-06,-1.068113E+02,-2.476440E+00
+1.342773E+01,+6.803742E-06,-2.501890E-06,-1.027943E+02,-3.523754E-01
+1.367188E+01,-4.460180E-06,-4.980997E-06,-1.034966E+02,-2.301086E+00
+1.391602E+01,+1.729204E-06,+6.254072E-06,-1.037568E+02,+1.301043E+00
+1.416016E+01,+1.011103E-06,+3.942117E-06,-1.078087E+02,+1.319721E+00
+1.440430E+01,+5.837712E-07,-1.308161E-06,-1.168781E+02,-1.151062E+00
+1.464844E+01,-8.446544E-06,-1.278680E-05,-9.629216E+01,-2.154565E+00
+1.489258E+01,+4.625031E-06,+1.667545E-05,-9.523659E+01,+1.300241E+00
+1.513672E+01,+5.870951E-06,-6.882498E-06,-1.008705E+02,-8.645480E-01
+1.538086E+01,-5.120038E-06,+2.053568E-06,-1.051667E+02,+2.760152E+00
+1.562500E+01,-2.078357E-07,-7.496758E-06,-1.024992E+02,-1.598513E+00
+1.586914E+01,+4.807636E-06,+3.246106E-06,-1.047301E+02,+5.938857E-01
+1.611328E+01,-1.031611E-05,+6.494374E-06,-9.827984E+01,+2.579737E+00
+1.635742E+01,+9.363474E-06,-2.971844E-06,-1.001544E+02,-3.073308E-01
+1.660156E+01,+5.229995E-07,-9.581291E-07,-1.192389E+02,-1.071141E+00
+1.684570E+01,-1.090315E-05,+7.791064E-07,-9.922684E+01,+3.070257E+00
+1.708984E+01,+9.218035E-06,-2.010298E-06,-1.005054E+02,-2.147212E-01
+1.733398E+01,+4.095031E-06,+8.795820E-07,-1.075590E+02,+2.115778E-01
+1.757812E+01,-1.142429E-05,-4.216116E-06,-9.828888E+01,-2.788050E+00
+1.782227E+01,+6.024719E-06,+1.269471E-05,-9.704536E+01,+1.127687E+00
+1.806641E+01,-2.929710E-06,-1.805329E-05,-9.475598E+01,-1.731675E+00
+1.831055E+01,+3.989794E-06,+1.845550E-05,-9.447911E+01,+1.357888E+00
+1.855469E+01,+3.214730E-06,-1.081064E-05,-9.895499E+01,-1.281757E+00
+1.879883E+01,-1.403181E-05,+6.181240E-07,-9.704930E+01,+3.097569E+00
+1.904297E+01,+1.234041E-05,-2.064253E-06,-9.805355E+01,-1.657414E-01
+1.928711E+01,-4.713644E-06,+4.779236E-06,-1.034621E+02,+2.349285E+00
+1.953125E+01,-2.854867E-07,+6.828982E-06,-1.033053E+02,+1.612577E+00
+1.977539E+01,+3.821935E-06,-1.293489E-05,-9.740123E+01,-1.283496E+00
+2.001953E+01,-4.553062E-06,+5.280203E-06,-1.031327E+02,+2.282382E+00
+2.026367E+01,+4.095273E-06,-2.441596E-06,-1.064335E+02,-5.376197E-01
+2.050781E+01,-3.750074E-06,-1.028943E-06,-1.082040E+02,-2.873804E+00
+2.075195E+01,-2.827024E-06,-2.603275E-07,-1.109367E+02,-3.049766E+00
+2.099609E+01,+1.019781E-05,+6.251501E-06,-9.844431E+01,+5.499409E-01
+2.124023E+01,-6.399203E-06,-5.512229E-07,-1.038454E+02,-3.055665E+00
+2.148438E+01,-3.914940E-06,-2.233303E-06,-1.069220E+02,-2.623180E+00
+2.172852E+01,+1.041543E-05,+4.572311E-06,-9.888108E+01,+4.136636E-01
+2.197266E+01,-1.136041E-05,-7.445663E-06,-9.734010E+01,-2.561428E+00
+2.221680E+01,+9.108069E-06,-1.020774E-07,-1.008109E+02,-1.120689E-02
+2.246094E+01,-5.174546E-06,+4.090268E-06,-1.036145E+02,+2.472696E+00
+2.270508E+01,-2.892640E-06,+5.320567E-07,-1.106296E+02,+2.959691E+00
+2.294922E+01,+4.575850E-06,-6.763629E-06,-1.017597E+02,-9.759910E-01
+2.319336E+01,+2.438131E-07,+5.954327E-06,-1.044961E+02,+1.529872E+00
+2.343750E+01,-2.344216E-07,+1.116725E-06,-1.188538E+02,+1.777711E+00
+2.368164E+01,-5.728161E-07,+4.993121E-06,-1.059758E+02,+1.685018E+00
+2.392578E+01,+3.372371E-07,-1.415378E-05,-9.698009E+01,-1.546974E+00
+2.416992E+01,+2.156808E-06,+3.282787E-06,-1.081168E+02,+9.895123E-01
+2.441406E+01,-8.766679E-06,+1.063192E-05,-9.721493E+01,+2.260336E+00
+2.465820E+01,+9.051235E-06,-1.216854E-05,-9.638275E+01,-9.312606E-01
+2.490234E+01,+1.724068E-06,+1.366552E-05,-9.721889E+01,+1.445297E+00
+2.514648E+01,-1.687289E-05,-1.255717E-05,-9.354207E+01,-2.501800E+00
+2.539062E+01,+2.063211E-05,+1.273633E-07,-9.370896E+01,+6.172983E-03
+2.563477E+01,-1.538222E-05,+7.183207E-06,-9.540289E+01,+2.704707E+00
+2.587891E+01,+1.584566E-05,+1.670619E-06,-9.595379E+01,+1.050426E-01
+2.612305E+01,-8.466944E-06,-1.651896E-06,-1.012832E+02,-2.948914E+00
+2.636719E+01,-2.875532E-06,-7.358205E-06,-1.020473E+02,-1.943340E+00
+2.661133E+01,+1.475096E-06,+7.654040E-06,-1.021638E+02,+1.380409E+00
+2.685547E+01,-9.196633E-07,-8.260931E-06,-1.016059E+02,-1.681667E+00
+2.709961E+01,+8.975539E-06,+1.312480E-05,-9.597187E+01,+9.709843E-01
+2.734375E+01,-5.898828E-06,-1.279560E-05,-9.702188E+01,-2.002764E+00
+2.758789E+01,-1.207321E-06,+4.107967E-06,-1.073677E+02,+1.856645E+00
+2.783203E+01,-4.885126E-06,+3.407209E-06,-1.045010E+02,+2.532569E+00
+2.807617E+01,+8.544145E-06,-2.465130E-06,-1.010194E+02,-2.808888E-01
+2.832031E+01,-7.450100E-06,+2.790129E-06,-1.019867E+02,+2.783252E+00
