FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-3.684337E-04,+0.000000E+00,-6.867281E+01,+3.141593E+00
+2.441406E-01,+2.422857E-04,-1.097208E-05,-7.230454E+01,-4.525479E-02
+4.882812E-01,+3.342374E-05,+4.981413E-06,-8.942348E+01,+1.479491E-01
+7.324219E-01,-1.687291E-05,+5.517642E-06,-9.501497E+01,+2.825542E+00
+9.765625E-01,+6.410027E-06,-6.658675E-06,-1.006841E+02,-8.044221E-01
+1.220703E+00,-9.104999E-06,+8.611605E-06,-9.803932E+01,+2.384037E+00
+1.464844E+00,+5.251915E-06,-6.309221E-06,-1.017141E+02,-8.765980E-01
+1.708984E+00,-8.507434E-06,-1.869470E-06,-1.011992E+02,-2.925285E+00
+1.953125E+00,+1.607839E-05,+1.142141E-05,-9.410091E+01,+6.176438E-01
+2.197266E+00,-6.985548E-06,-9.780712E-06,-9.840252E+01,-2.191000E+00
+2.441406E+00,-8.976406E-06,-4.898970E-06,-9.980569E+01,-2.642010E+00
+2.685547E+00,+1.349396E-05,+9.842544E-06,-9.554454E+01,+6.301887E-01
+2.929688E+00,-1.032762E-05,+6.857900E-07,-9.970089E+01,+3.075286E+00
+3.173828E+00,+1.635121E-06,-8.828373E-06,-1.009359E+02,-1.387660E+00
+3.417969E+00,+9.083054E-06,+1.442833E-05,-9.536587E+01,+1.008947E+00
+3.662109E+00,-2.010514E-06,-1.323871E-05,-9.746407E+01,-1.721511E+00
+3.906250E+00,-3.184604E-06,-4.299745E-06,-1.054319E+02,-2.208286E+00
+4.150391E+00,-5.285423E-06,+1.279650E-05,-9.717409E+01,+1.962490E+00
+4.394531E+00,+5.721230E-06,-4.688564E-06,-1.026189E+02,-6.865203E-01
+4.638672E+00,-8.253657E-08,-4.833065E-06,-1.063143E+02,-1.587872E+00
+4.882812E+00,-1.042997E-05,+4.494878E-06,-9.889450E+01,+2.734687E+00
+5.126953E+00,+2.172061E-05,+1.576943E-06,-9.323973E+01,+7.247407E-02
+5.371094E+00,-1.586103E-05,-3.902403E-06,-9.573813E+01,-2.900347E+00
+5.615234E+00,-2.024227E-06,+2.269071E-06,-1.103404E+02,+2.299227E+00
+5.859375E+00,+1.055087E-05,+6.040501E-07,-9.952003E+01,+5.718878E-02
+6.103516E+00,-2.281162E-06,+6.581276E-06,-1.031411E+02,+1.904451E+00
+6.347656E+00,-7.578444E-06,-1.652688E-05,-9.480736E+01,-2.000740E+00
+6.591797E+00,+8.003328E-06,+8.837235E-06,-9.847253E+01,+8.348756E-01
+6.835938E+00,-2.336864E-06,+1.292964E-06,-1.114675E+02,+2.636227E+00
+7.080078E+00,-1.413146E-06,+3.479400E-06,-1.085068E+02,+1.956590E+00
+7.324219E+00,-2.245775E-06,-1.153819E-05,-9.859576E+01,-1.763031E+00
+7.568359E+00,+4.195803E-06,+1.422371E-05,-9.657738E+01,+1.283945E+00
+7.812500E+00,+7.704716E-07,-6.062486E-06,-1.042774E+02,-1.444386E+00
+8.056641E+00,-3.811832E-06,-3.950322E-06,-1.052093E+02,-2.338355E+00
+8.300781E+00,+5.137365E-06,+3.146707E-06,-1.044016E+02,+5.495701E-01
+8.544922E+00,-3.618664E-06,-1.687003E-06,-1.079749E+02,-2.705353E+00
+8.789062E+00,-1.404325E-06,-5.043877E-06,-1.056205E+02,-1.842341E+00
+9.033203E+00,+2.752941E-06,+9.734491E-06,-9.989959E+01,+1.295191E+00
+9.277344E+00,+1.463919E-06,-7.155787E-06,-1.027288E+02,-1.369002E+00
+9.521484E+00,-3.453763E-06,+1.139385E-05,-9.848482E+01,+1.865118E+00
+9.765625E+00,+1.764677E-07,-1.199463E-05,-9.841933E+01,-1.556085E+00
+1.000977E+01,-3.774173E-06,+2.784269E-06,-1.065765E+02,+2.506000E+00
+1.025391E+01,+1.221062E-05,-7.282166E-08,-9.826509E+01,-5.963729E-03
+1.049805E+01,-1.331156E-05,+6.713912E-06,-9.653111E+01,+2.674458E+00
+1.074219E+01,+8.970789E-06,-8.881257E-06,-9.797643E+01,-7.803829E-01
+1.098633E+01,-1.966994E-06,+5.528943E-06,-1.046296E+02,+1.912596E+00
+1.123047E+01,-5.780406E-06,-7.343636E-06,-1.005878E+02,-2.237641E+00
+1.147461E+01,-1.186678E-08,+6.200104E-06,-1.041520E+02,+1.572710E+00
+1.171875E+01,+8.024372E-06,-3.457455E-06,-1.011722E+02,-4.068314E-01
+1.196289E+01,-6.112805E-06,+2.969136E-06,-1.033553E+02,+2.689431E+00
+1.220703E+01,+3.023969E-06,+6.952230E-06,-1.024050E+02,+1.160517E+00
+1.245117E+01,+6.429684E-07,-8.332000E-06,-1.015592E+02,-1.493780E+00
+1.269531E+01,+1.388470E-06,-3.757787E-06,-1.079456E+02,-1.216864E+00
+1.293945E+01,-8.496933E-06,+1.575501E-06,-1.012679E+02,+2.958255E+00
+1.318359E+01,+1.475868E-05,+4.372783E-06,-9.625362E+01,+2.880455E-01
+1.342773E+01,-1.572569E-05,+4.409436E-07,-9.606439E+01,+3.113560E+00
+1.367188E+01,+6.191636E-06,-2.899437E-06,-1.033028E+02,-4.379535E-01
+1.391602E+01,+2.583080E-06,+3.275451E-07,-1.116880E+02,+1.261310E-01
+1.416016E+01,+1.041639E-06,+7.066676E-07,-1.180014E+02,+5.960947E-01
+1.440430E+01,-8.464870E-06,-4.557065E-06,-1.003423E+02,-2.647738E+00
+1.464844E+01,+3.763299E-06,+8.137557E-06,-1.009484E+02,+1.137629E+00
+1.489258E+01,+6.373316E-06,-2.020879E-06,-1.034966E+02,-3.070560E-01
+1.513672E+01,-9.448548E-06,-3.888913E-06,-9.981305E+01,-2.751136E+00
+1.538086E+01,+8.440373E-06,+2.974802E-06,-1.009642E+02,+3.388550E-01
+1.562500E+01,-7.223799E-06,-2.598489E-06,-1.022962E+02,-2.796292E+00
+1.586914E+01,+8.058797E-06,+3.434279E-06,-1.011499E+02,+4.028466E-01
+1.611328E+01,-7.170442E-06,-4.166706E-06,-1.016256E+02,-2.615190E+00
+1.635742E+01,+1.838266E-06,+3.257049E-06,-1.085426E+02,+1.056967E+00
+1.660156E+01,+1.324030E-06,-2.877666E-06,-1.099853E+02,-1.139571E+00
+1.684570E+01,-3.731667E-06,+2.122354E-06,-1.073448E+02,+2.624475E+00
+1.708984E+01,+2.130731E-07,+1.735070E-06,-1.151487E+02,+1.448604E+00
+1.733398E+01,+7.114594E-06,-2.909312E-06,-1.022855E+02,-3.881738E-01
+1.757812E+01,-3.519032E-06,+2.110957E-06,-1.077367E+02,+2.601270E+00
+1.782227E+01,-6.781526E-06,-3.626986E-06,-1.022809E+02,-2.650468E+00
+1.806641E+01,+1.029161E-05,+4.700465E-06,-9.892751E+01,+4.284348E-01
+1.831055E+01,-8.796295E-06,-5.461090E-06,-9.969812E+01,-2.585991E+00
+1.855469E+01,+2.286560E-06,+8.761145E-06,-1.008626E+02,+1.315502E+00
+1.879883E+01,-8.559557E-07,-7.543495E-06,-1.023930E+02,-1.683782E+00
+1.904297E+01,+6.233025E-06,+2.379109E-06,-1.035154E+02,+3.646266E-01
+1.928711E+01,+7.772480E-07,-2.929871E-06,-1.103677E+02,-1.311485E+00
+1.953125E+01,-2.625544E-06,+7.621815E-06,-1.018718E+02,+1.902543E+00
+1.977539E+01,-9.393801E-06,-1.002187E-05,-9.724271E+01,-2.323857E+00
+2.001953E+01,+1.067293E-05,+8.650654E-06,-9.724124E+01,+6.811245E-01
+2.026367E+01,-5.536867E-06,-2.950962E-06,-1.040489E+02,-2.651921E+00
+2.050781E+01,-1.536607E-06,+2.404125E-06,-1.108932E+02,+2.139509E+00
+2.075195E+01,+1.072762E-05,-1.192853E-05,-9.589439E+01,-8.383542E-01
+2.099609E+01,-1.558133E-05,+1.492601E-05,-9.332021E+01,+2.377672E+00
+2.124023E+01,+1.060369E-05,-3.078073E-06,-9.913951E+01,-2.825185E-01
+2.148438E+01,+2.144874E-06,-3.709875E-06,-1.073604E+02,-1.046596E+00
+2.172852E+01,-8.678241E-06,+6.491518E-06,-9.930141E+01,+2.499358E+00
+2.197266E+01,+9.358413E-06,-1.138404E-05,-9.663187E+01,-8.827458E-01
+2.221680E+01,-6.582205E-06,+8.759011E-06,-9.920654E+01,+2.215243E+00
+2.246094E+01,+5.673762E-06,-7.488833E-06,-1.005417E+02,-9.224300E-01
+2.270508E+01,-1.088211E-05,+5.878862E-06,-9.815362E+01,+2.646280E+00
+2.294922E+01,+7.437650E-06,+2.955055E-06,-1.019347E+02,+3.781855E-01
+2.319336E+01,-9.080492E-07,-6.768417E-06,-1.033128E+02,-1.704160E+00
+2.343750E+01,+2.129415E-06,+1.463304E-06,-1.117551E+02,+6.020741E-01
+2.368164E+01,-4.459789E-06,+5.842503E-06,-1.026741E+02,+2.222778E+00
+2.392578E+01,+3.404823E-06,-4.155657E-06,-1.053967E+02,-8.843840E-01
+2.416992E+01,+5.440941E-06,-1.089644E-06,-1.051157E+02,-1.976528E-01
+2.441406E+01,-1.117757E-05,+7.332193E-07,-9.901440E+01,+3.076089E+00
+2.465820E+01,+5.439083E-06,-2.619904E-06,-1.043833E+02,-4.488854E-01
+2.490234E+01,-2.628279E-06,+1.370305E-06,-1.105623E+02,+2.660995E+00
+2.514648E+01,+4.582595E-06,+1.115747E-06,-1.065277E+02,+2.388280E-01
+2.539062E+01,-1.132469E-06,+4.308120E-06,-1.070241E+02,+1.827849E+00
+2.563477E+01,-1.237509E-06,-1.674460E-06,-1.136299E+02,-2.207253E+00
+2.587891E+01,-8.386728E-07,-6.352604E-06,-1.038659E+02,-1.702057E+00
+2.612305E+01,+1.696995E-06,+5.061139E-06,-1.054523E+02,+1.247278E+00
+2.636719E+01,-3.332568E-06,+1.899480E-06,-1.083227E+02,+2.623543E+00
+2.661133E+01,+2.239538E-06,-3.244615E-06,-1.080846E+02,-9.666561E-01
+2.685547E+01,-2.049052E-06,-2.425590E-07,-1.137085E+02,-3.023765E+00
+2.709961E+01,+8.524344E-06,-4.371208E-06,-1.003729E+02,-4.738281E-01
+2.734375E+01,-6.533466E-06,+1.006939E-05,-9.841400E+01,+2.146358E+00
+2.758789E+01,+1.035948E-06,-3.444764E-06,-1.088808E+02,-1.278669E+00
+2.783203E+01,-3.734330E-06,-2.377409E-06,-1.070780E+02,-2.574670E+00
+2.807617E+01,+3.261463E-06,+5.563393E-06,-1.038103E+02,+1.040559E+00
+2.832031E+01,-2.187464E-06,-8.981361E-06,-1.006829E+02,-1.809701E+00
+2.856445E+01,+4.564808E-06,+2.489336E-07,-1.067986E+02,+5.447924E-02
+2.880859E+01,-3.510712E-06,+9.247985E-06,-1.000944E+02,+1.933610E+00
+2.905273E+01,+2.549567E-06,-5.576035E-06,-1.042490E+02,-1.141941E+00
+2.929688E+01,+3.175707E-06,-1.149264E-06,-1.094287E+02,-3.472299E-01
+2.954102E+01,-8.182670E-06,+6.529527E-06,-9.960226E+01,+2.468091E+00
+2.978516E+01,+4.040181E-06,-5.441149E-06,-1.033791E+02,-9.320973E-01
+3.002930E+01,+9.033697E-09,-1.295062E-08,-1.560323E+02,-9.617171E-01
+3.027344E+01,-7.413101E-07,+4.529951E-06,-1.067634E+02,+1.733005E+00
+3.051758E+01,+1.992538E-06,-1.031559E-05,-9.957103E+01,-1.379988E+00
+3.076172E+01,-5.834937E-07,+1.402625E-05,-9.705367E+01,+1.612372E+00
+3.100586E+01,-7.310299E-06,-1.006613E-05,-9.810320E+01,-2.198908E+00
+3.125000E+01,+1.124230E-05,-2.982358E-06,-9.868755E+01,-2.593074E-01
+3.149414E+01,-1.200953E-06,+7.248900E-06,-1.026770E+02,+1.734979E+00
+3.173828E+01,-7.911778E-06,+4.419774E-06,-1.008549E+02,+2.632146E+00
+3.198242E+01,+6.057849E-06,-1.104723E-05,-9.799317E+01,-1.069214E+00
+3.222656E+01,-1.064705E-06,+5.873573E-06,-1.044815E+02,+1.750119E+00
+3.247070E+01,-5.189868E-06,+2.801195E-06,-1.045865E+02,+2.646658E+00
+3.271484E+01,+9.719440E-06,-8.136148E-06,-9.794081E+01,-6.969574E-01
+3.295898E+01,-1.195384E-05,+5.714164E-06,-9.755609E+01,+2.695684E+00
+3.320312E+01,+1.052086E-05,-3.821258E-06,-9.902083E+01,-3.483925E-01
+3.344727E+01,-2.093209E-06,+6.609525E-06,-1.031815E+02,+1.877499E+00
+3.369141E+01,-3.901523E-06,-4.812918E-06,-1.041583E+02,-2.251989E+00
+3.393555E+01,+4.231275E-06,-9.643891E-07,-1.072506E+02,-2.240913E-01
+3.417969E+01,-3.485457E-07,+2.491891E-06,-1.119853E+02,+1.709767E+00
+3.442383E+01,-1.785758E-06,-3.004471E-06,-1.091308E+02,-2.107064E+00
+3.466797E+01,-5.704076E-07,-2.543406E-06,-1.116786E+02,-1.791415E+00
+3.491211E+01,+9.183386E-07,+1.166217E-05,-9.863756E+01,+1.492213E+00
+3.515625E+01,-1.733105E-06,-9.159988E-06,-1.006094E+02,-1.757790E+00
+3.540039E+01,-1.787104E-06,+7.041035E-06,-1.027761E+02,+1.819360E+00
+3.564453E+01,+1.104366E-05,-9.138131E-06,-9.687256E+01,-6.912588E-01
+3.588867E+01,-7.766559E-06,-1.787380E-07,-1.021931E+02,-3.118583E+00
+3.613281E+01,-1.973140E-06,+5.044629E-06,-1.053252E+02,+1.943639E+00
+3.637695E+01,+4.404601E-06,+1.836070E-06,-1.064261E+02,+3.949498E-01
+3.662109E+01,-1.326205E-06,-1.154319E-06,-1.150986E+02,-2.425378E+00
+3.686523E+01,-2.079705E-06,-3.280385E-06,-1.082142E+02,-2.135828E+00
+3.710938E+01,+3.930718E-07,+1.749427E-06,-1.149282E+02,+1.349781E+00
+3.735352E+01,+4.397572E-06,+2.118328E-06,-1.062295E+02,+4.489040E-01
+3.759766E+01,-6.758934E-06,-7.375523E-06,-9.999646E+01,-2.312599E+00
+3.784180E+01,+3.154237E-06,+4.914550E-06,-1.046722E+02,+1.000196E+00
