Record Length,Analog:10000
Sample Interval,5.000000E-04
Vertical Units,V,
Vertical Scale,+1.000000E-01
Vertical Offset,+6.666667E-03
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-3.4080239521E-02,+2.083333E-04
-3.3580239521E-02,-6.250000E-04
-3.3080239521E-02,-4.166667E-04
-3.2580239521E-02,-4.166667E-04
-3.2080239521E-02,-4.166667E-04
-3.1580239521E-02,-4.166667E-04
-3.1080239521E-02,-2.083333E-04
-3.0580239521E-02,-2.083333E-04
-3.0080239521E-02,-2.083333E-04
-2.9580239521E-02,-6.250000E-04
-2.9080239521E-02,+2.083333E-04
-2.8580239521E-02,-2.083333E-04
-2.8080239521E-02,+0.000000E+00
-2.7580239521E-02,-4.166667E-04
-2.7080239521E-02,-2.083333E-04
-2.6580239521E-02,-2.083333E-04
-2.6080239521E-02,+0.000000E+00
-2.5580239521E-02,-2.083333E-04
-2.5080239521E-02,+4.166667E-04
-2.4580239521E-02,-8.333334E-04
-2.4080239521E-02,-4.166667E-04
-2.3580239521E-02,-6.250000E-04
-2.3080239521E-02,-4.166667E-04
-2.2580239521E-02,+2.083333E-04
-2.2080239521E-02,+0.000000E+00
-2.1580239521E-02,+4.166667E-04
-2.1080239521E-02,+0.000000E+00
-2.0580239521E-02,+2.083333E-04
-2.0080239521E-02,-2.083333E-04
-1.9580239521E-02,+2.083333E-04
-1.9080239521E-02,+2.083333E-04
-1.8580239521E-02,+6.250000E-04
-1.8080239521E-02,+6.250000E-04
-1.7580239521E-02,-4.166667E-04
-1.7080239521E-02,-2.083333E-04
-1.6580239521E-02,+0.000000E+00
-1.6080239521E-02,+4.166667E-04
-1.5580239521E-02,+6.250000E-04
-1.5080239521E-02,+1.041667E-03
-1.4580239521E-02,+2.083333E-04
-1.4080239521E-02,+1.041667E-03
-1.3580239521E-02,+4.166667E-04
-1.3080239521E-02,-2.083333E-04
-1.2580239521E-02,-4.166667E-04
-1.2080239521E-02,+2.083333E-04
-1.1580239521E-02,+0.000000E+00
-1.1080239521E-02,+6.250000E-04
-1.0580239521E-02,+6.250000E-04
