FFT Length,8192
Record Length,4096
FFT Sample Rate,+2.000000E+03,
Delta Frequency,+2.441406E-01,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+03,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-5.325673E-04,+0.000000E+00,-6.547250E+01,+3.141593E+00
+2.441406E-01,+3.546014E-04,-1.325524E-05,-6.899913E+01,-3.736328E-02
+4.882812E-01,+3.884677E-05,+9.753478E-06,-8.794740E+01,+2.459908E-01
+7.324219E-01,-1.560376E-05,+4.249241E-06,-9.582473E+01,+2.875718E+00
+9.765625E-01,-5.869282E-06,-1.912083E-05,-9.397881E+01,-1.868624E+00
+1.220703E+00,+3.513024E-06,+1.000788E-05,-9.948852E+01,+1.233208E+00
+1.464844E+00,-5.968871E-06,+9.792568E-06,-9.881003E+01,+2.118194E+00
+1.708984E+00,+1.543449E-05,-1.184053E-05,-9.422024E+01,-6.543853E-01
+1.953125E+00,-1.131772E-05,+1.749105E-05,-9.362483E+01,+2.145101E+00
+2.197266E+00,-5.123908E-06,-2.459993E-05,-9.199688E+01,-1.776150E+00
+2.441406E+00,+1.637749E-05,+1.496407E-05,-9.307906E+01,+7.403312E-01
+2.685547E+00,-9.833348E-06,-7.956873E-06,-9.795862E+01,-2.461284E+00
+2.929688E+00,+7.995643E-07,+1.071190E-05,-9.937854E+01,+1.496292E+00
+3.173828E+00,+6.281265E-06,-9.310762E-06,-9.899132E+01,-9.773049E-01
+3.417969E+00,-7.807696E-06,+5.369422E-06,-1.004677E+02,+2.539164E+00
+3.662109E+00,-7.938827E-07,+6.067106E-06,-1.042666E+02,+1.700907E+00
+3.906250E+00,+2.927876E-06,-1.491433E-05,-9.636369E+01,-1.376948E+00
+4.150391E+00,+2.973409E-06,+1.009979E-05,-9.955276E+01,+1.284482E+00
+4.394531E+00,-7.034804E-06,-1.542452E-06,-1.028510E+02,-2.925748E+00
+4.638672E+00,+1.272833E-05,-6.655973E-06,-9.685474E+01,-4.818197E-01
+4.882812E+00,-7.169306E-06,+3.933388E-06,-1.017477E+02,+2.639792E+00
+5.126953E+00,-2.994155E-06,+3.825027E-06,-1.062717E+02,+2.234949E+00
+5.371094E+00,-7.247429E-08,-5.215406E-06,-1.056534E+02,-1.584692E+00
+5.615234E+00,+6.150881E-06,+4.235607E-06,-1.025357E+02,+6.030461E-01
+5.859375E+00,-9.296078E-06,-3.672243E-06,-1.000042E+02,-2.765377E+00
+6.103516E+00,+8.049929E-06,+4.499550E-06,-1.007034E+02,+5.096925E-01
+6.347656E+00,-8.710780E-07,-6.207738E-06,-1.040567E+02,-1.710207E+00
+6.591797E+00,-3.917053E-06,+4.434103E-07,-1.080855E+02,+3.028872E+00
+6.835938E+00,+6.003174E-06,+6.487752E-06,-1.010719E+02,+8.241731E-01
+7.080078E+00,-6.040716E-06,-2.597213E-06,-1.036416E+02,-2.735536E+00
+7.324219E+00,+5.990830E-07,+2.633132E-07,-1.236832E+02,+4.141106E-01
+7.568359E+00,+3.568016E-06,-6.360107E-06,-1.027424E+02,-1.059548E+00
+7.812500E+00,-5.936087E-06,+2.762371E-06,-1.036787E+02,+2.706045E+00
+8.056641E+00,+1.305844E-05,+6.940886E-06,-9.660153E+01,+4.885482E-01
+8.300781E+00,-1.253494E-05,-7.735497E-06,-9.663615E+01,-2.588684E+00
+8.544922E+00,+3.353081E-06,+2.889198E-06,-1.070795E+02,+7.112215E-01
+8.789062E+00,+1.255630E-07,-4.435319E-06,-1.070580E+02,-1.542494E+00
+9.033203E+00,+1.962853E-06,+1.238619E-05,-9.803352E+01,+1.413632E+00
+9.277344E+00,-8.831177E-06,-1.185836E-05,-9.660329E+01,-2.210911E+00
+9.521484E+00,+1.070227E-05,+1.058685E-06,-9.936819E+01,+9.860081E-02
+9.765625E+00,-1.521101E-06,+2.071213E-06,-1.118021E+02,+2.204239E+00
